bucket ID 	 bug ID 	 crash version 	 crashes 	 bug fixing changes 	 bug inducing changes
162705	200489	a693229ccdbb	530151|517285	10890b0fac5fdca2feaecdc41cce4282d429b74a	e56ef8061b13|2a9b8edff274
179185	199172	a693229ccdbb	512927	8b6105582d3c2485d75f0a0003619c8d7206e9f0|043ca97ba9155f5c53b4db5af89ed1f33d22af37	d58c9315a741
178393	197831	a693229ccdbb	513818|504421	0c7bea8d0da51db34e0a48d6296ce759705863f3	93cdfa82d55e|74be9eceb041|dc7862524137
180712	204706	a693229ccdbb	523066	08a93fe0f8da88a1ff8ed106fd07f1338945857e	4dcf38fea4f9|22509e215d17|f7182cff6816|4f5433c85e8c|c327743ea64b|8559551465d2
183185	205552	a693229ccdbb	512512	84d47642ad9e153c19f4a946be69fec3006a97aa	09b8f97c2daf|b187181162d1
180073	200320	a693229ccdbb	520204	a43a83166bf980dd40011d87cbe660092f61f5f4	6840f9caac97|8559551465d2
182573	204651	a693229ccdbb	514996|513277	a1e465275b62b1143ee492715e5b7d540ecb4d36|76f00482394072e91e0a29c47c333c22f3d58141	476636b94405|a1e465275b62
150955	177460	a693229ccdbb	521510|517819|517677|517676|517648|517623|517619|517608|517098|513949|511017|511016|511014|510889|509624|509617|509507|509504|509025|509007|508186|508184|508183|508171|508168|508073|507718|507717|507716|507552|507544|507334|507114|507094|506964|506963|506462|506461|506119|505714|505709	a4ee14a33968e87385e72facad74aa96c0c5459c	8559551465d2|bc43787578a7
192478	218432	a693229ccdbb	510577	426d078a6d22c5f5f13e5b3d66436f4c96827512	9bf9ea30f520
147528	160302	a693229ccdbb	521384|520961|517199|510753|508875	18df6fd7caa4157cfa62ecde44653e5b7510a270	4f0a34c170f2|3d4cfe5940f5
177715	197117	a693229ccdbb	507025|507024|507007	85a53ea020927a139deffbcc591c668b05273e7b|309c668d8cfca6dded50bcf6ad30f6afc89c7271	253f46eaf676
174501	199668	a693229ccdbb	516014	109f12d8f8be0b5359a4f54a934a8159004bc844|05fdd5f2d3b1a13616aa7517400c69cd657032e9|2c3851746467acf43ec3f2899707acbbba41e284|e393607a53edfd4f13dc06b98197eee01fa20b4a	13f4e42c7a6a|c506ba8f57a7
180080	200327	a693229ccdbb	520271	3a07cd539d4d90e8eb52bf1c9044f6aceb09a946	571a5268e1ec
176945	218417	a693229ccdbb	505108	6e87a202df264f2fb60a1b84a33eb3253527889d	612151d66b5f
175259	196608	a693229ccdbb	510258|507954	54e813f15e7d9b4f9c61242d1379eb7f45e1f41f	c5fe5a937722|ae2e68254ecd|7216190d5436|2683baca2630|a42de38c7be3
178227	215039	a693229ccdbb	519200	5f29104e6d9948111361ef616f3dca10a44f40e7	499f688cc11a|98b6f81db1d2|4b361b475588
145505	157361	a693229ccdbb	518816|512298|512297	fad23e53083ca0ca92438a70e7731973a9362219|78199517f170ec4bc60039cedccb0c29719b9e3f	78199517f170|63608ddca04e
178466	197994	a693229ccdbb	521324|517337|514869|514846|505094	690c13b7f2c7bc0b090634a5cb0d2bda8bd0fe9e	8559551465d2|4d86d84e03d6
179633	204323	a693229ccdbb	516707	29e0df5363ec4892b205c7ab6f8f1318a9e329f6	711aaf7b9fb1|5f9b5696a013|0387766ff9f4|839f3abad9da|14198c139d1b|3da73b782769|06e54131a7a3
178582	198753	a693229ccdbb	521753|515223|514981|512761|511195|509637|506907	66d3a29dc445277b1c1609cf519a30224199d57e	e5416424aa33
179690	204459	a693229ccdbb	517290	84ff22cf364cc793374619d1b26515f9a3eeec76	1002bda6bb47
163048	225078	a693229ccdbb	505866	72c2bf20acf7af7a0036d8fbdcbb31dc1d30477e	14198c139d1b
171622	194747	a693229ccdbb	520487|511971|508957|508575|507495	abd77433594f0ea49d643a597b6bfffcb739ea23	ea19d529cada
175322	193793	a693229ccdbb	518229	361c559743831b2827c4f816445d0c3593fb188b	50a0a273b935|23aea6693264|8559551465d2
151652	199345	a693229ccdbb	514037	8fb98c7732d59b3f16e55e84d63253342fefa98c	9bc576f9f83f
179205	199205	a693229ccdbb	516104|515817	b28d1ed6f766bf51db802e8b1b5d1d2f7828f2e7	73d42456fe19
178810	198541	a693229ccdbb	508885	706ce8746f8944e4e993543a50cc9d10c0fc1441	6523b0baa1db|d0461fdbb1d2|8559551465d2|48cdcb685705|0d5105142ba9|94a9ab15f4db
177069	196046	a693229ccdbb	512135|511929|509531|506511|506308|505093|504023	cb77ccd141e41988b1350df65994a5a57c6dd90b	76f004823940
170231	186861	a693229ccdbb	520578	d86b78db887358606d76595678ed3d384d5e7480	8559551465d2
193374	219873	a693229ccdbb	506127	3e4a49bc68403e6dc7f74303ab9f1d3a988613f3	c5ee47761780|72a65fdda80d
175142	213109	a693229ccdbb	512448|508132	ecdc87ae02e33a21d578356d1514dbb94ba4ac53	3ca62d75a91b
178794	198490	a693229ccdbb	508570	e20e990bf27145e6667a4feddf2777b07277bb71	988dfbf21934|a8b1c623a2cf
179785	199982	a693229ccdbb	518060	9710dcad88bbcea2bc32392650db10fc40e83b4f	9d898b0f9741|cf78fe647c19
177122	217257	a693229ccdbb	508382	b237688a4281e8e2e39d57f4f985f2d7d98acb45	11138d1eca43
179641	199783	a693229ccdbb	516819	1c7e3900da9158add4c10b6b500a572e7aebcb1c	4d14beda8112|343ab075f084
179784	199981	a693229ccdbb	518059	fc1631ce1c85269a3157ab619b8b1a6ad3342a2a	eac3045b4fdd
179047	205658	a693229ccdbb	511595	eaa7ea5f63fc7e58d0fd7e78a3c14c758f54962a|5ab6c84d7001ab6b80d835513f92e8d9f962555a|20ddfca71bd0a0f0a5f54f508e32a0b0e7f826b7|406bb6cc8bfc992eb1fa4038cea1b9dc77b59155	bac0432e713c|538506bc38af
171461	198289	a693229ccdbb	518929|517638|517629|517621|517615|515184	8180044fa99279455693666e4c2a8f3aef6f023b	499f688cc11a
