bucket ID 	 bug ID 	 crash version 	 crashes 	 bug fixing changes 	 bug inducing changes
184579	224088	e649e0c4c10c	644711	1cbd01641369081cd9f303c4c2b182dcdf02209b	c4500bd8c757|cb77ccd141e4
183208	213187	e649e0c4c10c	561102	21f3627fa0dcf04dc23cec045e2122a1d05d1f77	8ef29befd159
183525	211588	e649e0c4c10c	639424	637a2be0dda01d519bba76abc06c33926a625358	f95e86d7a47a
192478	218432	e649e0c4c10c	626725|598716|597931|575186|564813|563460|562816|562288|562156|561224|559886|559023|558983|558819|558349|557989|557776|557739|557625|556306|556265|555373|554973	426d078a6d22c5f5f13e5b3d66436f4c96827512	9bf9ea30f520
176945	218417	e649e0c4c10c	558678	6e87a202df264f2fb60a1b84a33eb3253527889d	612151d66b5f
173157	208648	e649e0c4c10c	561399	3e449a3d0d818ef48edaac72d7f368ca887ebac6	44728f9b507e|26847aebc78f|0b135cec4ec6|366a607ab789|9f567c5efbfe
183808	206440	e649e0c4c10c	577896|577895|576706|569616|568606|566518|566364|564091|564090|562610|557662|556871	2c4fe1d37eec06f5b878eef418edd46daf1ec53a|f59eec0722cc87e68413d49171f532d79697f3e0	f2823978830d
184788	207780	e649e0c4c10c	558654	827608c957d780135c35dfa5acae180c62128960|abfb57be1badb9961f0415a34577c82ea0c9e6f5	26847aebc78f|19113e399040|b91bb5a5841c|4b181e90ae86|fafdca3be201|3ad2f5abb29f|dfdc99c7d008
184548	227374	e649e0c4c10c	600661|566418|563533|557151	72bbaaf88a4a9e5ad48e36baaac6a4ed279406d3	a4c388b547e7
184581	258482	e649e0c4c10c	557374	94e5097a613abbb83db87c4ca6cfba6f1f22487d	fea0c60f1cf3|ad501b78a7ad
183051	209550	e649e0c4c10c	562384	bda9b5d1c47074fa90b4741c51f37c4cf556a3c7	d04338435dfc
188393	213462	e649e0c4c10c	605417	d9774c65ee22b25f7edf12f7169985e55f9164d1	ecd1a0f0e385|74b341a936df|f3f6a183602c
194225	209552	e649e0c4c10c	557760	e18432ec01830c0d7a51c87934e46db93791fcbc	2ce472287895
175322	193793	e649e0c4c10c	581818|579363	361c559743831b2827c4f816445d0c3593fb188b	50a0a273b935|23aea6693264|8559551465d2
199833	239679	e649e0c4c10c	666590	d85ce199576f0723d5e3767f95d16689fb39d196	38e92efa42e8
185647	209288	e649e0c4c10c	564361|558264	57c8bc1e87c250ad542ee12053bad1bcfeb9269b	c69f4c950bc2|5eabeb402da7|89dace4eb5e3
181520	202897	e649e0c4c10c	561363	1ad527eef94d31100cb76f6cf387148a71af1058	efd7db4d1952
184997	208278	e649e0c4c10c	559797	b71948441685c5716b3e904d2b07a2c63931cd32	58f50a82f054
